timestep,site,spp,count
22,9,spp3,0
22,10,spp3,16
22,11,spp3,1
22,12,spp3,5
22,1,spp4,13
22,2,spp4,2
22,3,spp4,13
22,4,spp4,0
22,5,spp4,25
22,6,spp4,7
22,7,spp4,6
22,8,spp4,13
22,9,spp4,7
22,10,spp4,11
22,11,spp4,16
22,12,spp4,7
22,1,spp5,53
22,2,spp5,51
22,3,spp5,53
22,4,spp5,32
22,5,spp5,33
22,6,spp5,40
22,7,spp5,26
22,8,spp5,27
22,9,spp5,45
22,10,spp5,36
22,11,spp5,29
22,12,spp5,50
23,1,spp1,27
23,2,spp1,26
23,3,spp1,13
23,4,spp1,30
23,5,spp1,21
23,6,spp1,24
23,7,spp1,35
23,8,spp1,35
23,9,spp1,19
23,10,spp1,23
23,11,spp1,20
23,12,spp1,22
23,1,spp2,11
23,2,spp2,25
23,3,spp2,22
23,4,spp2,34
23,5,spp2,21
23,6,spp2,31
23,7,spp2,28
23,8,spp2,22
23,9,spp2,24
23,10,spp2,23
23,11,spp2,32
23,12,spp2,17
23,1,spp3,0
23,2,spp3,0
23,3,spp3,0
23,4,spp3,0
23,5,spp3,2
23,6,spp3,0
23,7,spp3,2
23,8,spp3,0
23,9,spp3,0
23,10,spp3,10
23,11,spp3,1
23,12,spp3,3
23,1,spp4,11
23,2,spp4,2
23,3,spp4,13
23,4,spp4,1
23,5,spp4,21
23,6,spp4,11
23,7,spp4,10
23,8,spp4,13
23,9,spp4,11
23,10,spp4,12
23,11,spp4,17
23,12,spp4,6
23,1,spp5,52
23,2,spp5,50
23,3,spp5,53
23,4,spp5,37
23,5,spp5,37
23,6,spp5,36
23,7,spp5,27
23,8,spp5,32
23,9,spp5,48
23,10,spp5,35
23,11,spp5,31
23,12,spp5,55
24,1,spp1,24
24,2,spp1,28
24,3,spp1,16
24,4,spp1,19
24,5,spp1,18
24,6,spp1,27
24,7,spp1,39
24,8,spp1,34
24,9,spp1,27
24,10,spp1,19
24,11,spp1,23
24,12,spp1,30
